english,tamil
2.2. Analytical Financial Review,2.2 பகுப்பாய்வு ரீதியான நிதி மீளாய்வு
The increase in certain items of expenditure as compared with the preceding year by a sum of had been the main reason for the deterioration of in the financial results.,நிதி விளைவுகள் தொகையான பின்னடைவிற்கு கடந்த ஆண்டுடன்  ஒப்பிடுகையில் சில செலவுகள் ஆல் அதிகரித்திருந்தமை பிரதானமாக தாக்கமளித்திருந்தது.
The number of students who participated in the degree courses conducted by the Staff College in the year under review had been 102 as compared with the participation of 83 students in the preceding year.,பதவிநிலைக் கல்லூரி நடாத்திவருகின்ற பட்டப்படிப்பு கற்கை நெறிக்கு மீளாய்வாண்டில் பங்குபற்றிய மாணவர்களின் எண்ணிக்கை 102 ஆக இருந்ததுடன் அதற்கு நேரொத்த வகையில் முன்னைய ஆண்டில் பங்குபற்றிய மாணவர்களின் எண்ணிக்கை 83 ஆக இருந்தது.
"According to the comprehensive income statement, the total expenditure for the year under review amounted to and as such the cost per graduate amounted to Management Inefficiencies",விரிவான வருமானக் கூற்றின் படி மீளாய்வாண்டின் மொத்தச் செலவினம் ஆக காணப்பட்டதுடன் அதற்கமைய பட்டதாரி ஒருவருக்காக செலவிடப்பட்டிருந்தது.
The following observations are made.,3.2 முகாமைத்துவ செயற்றிறனின்மை
(a) Inspection of warehouse items,பின்வரும் அவதானிப்புகள் மேற்கொள்ளப்படுகின்றன.
(i) The accuracy of the balance of stocks shown in the balance sheet as at 31 December 2012 could not be established as the stock books had not been maintained externally from the stores.,(அ) களஞ்சியப் பொருட்களை செவ்வைப்பார்த்தல்
(ii) Separate Inventory Registers had not been maintained for recording the particulars on assets used by each Division of the College.,(i) இருப்புப் பதிவேடுகள் களஞ்சியத்திற்கு வெளியே பேணப்படாமையால் 2012 திசெம்பர் 31 இல் உள்ளவாறான ஐந்தொகையில் காண்பிக்கப்பட்டிருந்த இருப்பு மீதியின் சரியான தன்மையை உறுதிப்படுத்த முடியவில்லை.
3.3. Operating Inefficiencies,(ii) கல்லூரியின் ஒவ்வொரு பிரிவினாலும் பயன்பாட்டிற்கு எடுக்கப்படுகின்ற சொத்துக்கள் தொடர்பான விபரங்களை உள்ளடக்குவதற்கு தனியான பொருட் பதிவேடு பேணப்பட்டிருக்கவில்லை.
The following observations are made.,3.3 செயற்பாட்டுச் செயற்றிறனின்மைகள்
million due to cost escalations and delays.,விலைகள் அதிகரித்திருந்தமை மற்றும் காலதாமதம் காரணமாக மூல மதிப்பீடு ரூபா 86.5 மில்லியன் வரை அதிகரிக்கப்பட்டிருந்தது.
"Due to the delay in the construction works, it had not been possible to expand the courses expected for commencement in the year 2013.","மேலும், நிர்மாண நடவடிக்கைகள் தாமதமடைந்திருந்தமை காரணமாக 2013 ஆம் ஆண்டில் தொடங்குவதற்கு உத்தேசிக்கப்பட்டிருந்த பாடநெறிகளை எதிர்பார்த்த அளவில் விரிவுபடுத்துவதற்கு முடியாது போயிருந்தது."
3.4. Underutilisation of Funds,3.4 நிதிகளைப் பயன்படுத்தல்
"As the capital grants provided annually by the General Treasury was not utilized by the college, it was continuously credited again to the Treasury at the end of the year.",வருடாந்தம் பொதுத் திறைசேரியினால் வழங்கப்பட்டிருந்த மூலதன ஏற்பாடுகள் கல்லூரியினால் பயன்படுத்தப்பட்டிருக்காமை காரணமாக ஆண்டின் இறுதியில் திறைசேரிக்கு செலவு வைக்கப்படுதல் தொடர்ச்சியாக  இடம்பெற்று வந்திருந்தது.
3.5. Utilization of Motor Vehicles,3.5 வாகனப் பயன்பாடு
The Ministry of Defence and the Sri Lanka Army had made available 17 and 14 motor vehicles respectively to the College and the ownership of the motor vehicles had not been transferred to the College.,கல்லூரிக்காக பாதுகாப்பு அமைச்சால் 17 வாகனங்களும் தரைப்படையால் 14 வாகனங்களும் வழங்கப்பட்டிருந்ததுடன் இவ்வாகனங்களின் உரித்தினை கல்லூரிக்கு கையேற்றிருக்கவில்லை.
A three wheeler motor vehicles condemned had been left parked since 17 December 2011.,முற்சக்கர வண்டியொன்று 2011 திசெம்பர் 17 ஆம் திகதி முதல் பயன்பாடின்றி நிறுத்தி வைக்கப்பட்டிருந்தது.
"Even though all the motor vehicles used by the College should be controlled by one Division, it had been decentralized in the way of that the motor vehicles of Sri Lanka Army and the Ministry of Defence were being controlled by the Transport Division and the 04 motor vehicles supplied by Sri Lanka Air force and 02 motor vehicles supplied by Sri Lanka Navy were being controlled by their respective Wings.","கல்லூரியினால் பயன்படுத்தப்பட்டு வருகின்ற வாகனங்கள் ஒரு பிரிவினால் கட்டுப்படுத்தப்பட வேண்டிய போதிலும், இராணுவம் மற்றும் பாதுகாப்பு அமைச்சின் வாகனங்கள் போக்குவரத்துப் பிரிவாலும் விமானப் படையால் வழங்கப்பட்ட 04 வாகனங்களும் கடற்படையால் வழங்கப்பட்ட 02 வாகனங்களும் அவற்றின் பிரிவுகளாலும் (Wing) கட்டுப்படுத்தக்கூடிய விதத்தில் கட்டுப்பாட்டு நடவடிக்கைகள் பன்முகப்படுத்தப்பட்டிருந்தன."
3.6. Staff Management,3.6 பதவியணியினர் முகாமைத்துவம்
"Even though the approved staff of the college had been 100, only a staff of 92 had been deployed.",கல்லூரியின் அங்கீகரிக்கப்பட்ட பதவியணியினர் எண்ணிக்கை 100 ஆக காணப்பட்டதுடன் சேவையில் ஈடுபட்டிருந்த பதவியணியினர் எண்ணிக்கை 92 ஆக இருந்தது.
4.1. Annual Action Plan,4.1 வருடாந்த செயல்நடவடிக்கைத் திட்டம்
An Action Plan for the identification of the financial targets and the physical targets according to the respective periods had not been prepared.,இது தொடர்பான நிதிசார் இலக்குகளையும் பௌதீக இலக்குகளையும் அந்தந்தக் காலத்திற்கேற்ப இனங்காணக்கூடிய வகையில் செயல்நடவடிக்கைத் திட்டம் தயாரிக்கப்பட்டிருக்கவில்லை.
The Performance Reports had not been prepared in a manner to facilitate comparison with the Action Plan.,செயல் நடவடிக்கைத் திட்டத்துடன் ஒப்பிடக்கூடிய வகையில் செயலாற்றல் அறிக்கை தயாரிக்கப்பட்டிருக்கவில்லை.
4.2. Budgetary Control,4.2 பாதீட்டுக் கட்டுப்பாடு
It was observed that the budget had not been used as an effective instrument of management control because of a significant variance between the estimated provision and actual expenditure.,பாதிடப்பட்ட ஏற்பாடுகளிற்கும் உள்ளபடியான செலவினங்களிற்குமிடையே குறிப்பிடத்தக்க முரண்கள் அவதானிக்கப்பட்டமையால் பாதீடானது பயனுள்ள முகாமைத்துவ கட்டுப்பாட்டுக் கருவியொன்றாக பயன்படுத்திக் கொள்ளப்பட்டிருக்கவில்லை என்பது அவதானிக்கப்பட்டது.
4.3. Tabling of Annual Reports in the Parliament,4.3. ஆண்டறிக்கையினை பாராளுமன்றத்தில் முன்வைத்தல்
"In terms of Section 6.5.3 of the Public Enterprises Circular No. PED/12 of 02 June 2003, the Annual Report on the activities of the Defence Services Command and Staff College and the accounts should be tabled in Parliament within 150 days after the closure of the financial year.",2003 யூன் 02 ஆம் திகதியுடைய பீஈடீ 12 ஆம் இலக்க அரசாங்க முயற்சிகள்     சுற்றறிக்கையின் 6.5.3 ஆம் பிரிவின் பிரகாரம் கணக்காண்டு முடிவடைந்து 150 நாட்களிற்குள் பாதுகாப்புச் சேவை கட்டளை மற்றும் பதவிநிலைக் கல்லூரியின் நடவடிக்கைகள் தொடர்பிலான வருடாந்த அறிக்கை மற்றும் கணக்குகள் பாராளுமன்றித்திற்கு முன்வைக்கப்பட வேண்டும்.
"Nevertheless, the Annual Reports for the years 2010 and 2011 had not been tabled in Parliament even by 09 November 2013.","இருந்தபோதிலும், 2010 மற்றும் 2011 ஆம்   ஆண்டுகளிற்கான வருடாந்த அறிக்கைகள் 2013 நவம்பர் 09 ஆந் திகதி வரை பாராளுமன்றத்திற்கு முன்வைக்கப்பட்டிருக்கவில்லை."
Deficiencies in Systems and Controls observed during the course of audit were brought to the notice of the Chairman of the Defence Services Command and Staff College from time to time.,கணக்காய்வில் அவதானிக்கப்பட்ட முறைகளினதும் கட்டுப்பாடுகளினதும் குறைபாடுகள் அவ்வப்போது பாதுகாப்புச் சேவை கட்டளை மற்றும் பதவிநிலைக் கல்லூரியின் தலைவரது கவனத்திற்கு கொண்டுவரப்பட்டிருந்தன.
(a) Utilization of Capital Provision,(அ) மூலதன ஏற்பாடுகளைப் பயன்படுத்துதல்
(b) Staff Control,(ஆ) பதவியணியினர் கட்டுப்பாடு
(c) Construction Works,(இ) நிர்மாண நடவடிக்கைகள்
(d) Stores Control,(ஈ) களஞ்சியக் கட்டுப்பாடு
P. S. No. 2014/321 - Second Instalment – Part XII - State Corporations - Report of the Auditor General 2012,பா.தொ.இ 2014/321 தொகுதி – 02 – பகுதி - XII – அரசாங்க கூட்டுத்தாபனங்கள் கணக்காய்வாளர் தலைமை அதிபதியின் அறிக்கை – 2012
General Sir John Kotalawala Defence University - 2012,ஜெனரல் சேர் ஜோன் கொத்தலாவல பாதுகாப்பு பல்கலைக்கழகம் 2012
1.1 Qualified Opinion,1.1 முனைப்பழியுள்ள அபிப்பிராயம்
"In my opinion, except for the effects of the matters described in paragraph 1.2 of this report, the financial statements give a true and fair view of the financial position of the General Sir John Kotalawala Defence University as at 31 December 2012 and its financial performance and cash flows for the year then ended in accordance with Sri Lanka Accounting Standards.",இந்த அறிக்கையின் 1.2 ஆம் பந்தியில் விபரிக்கப்பட்ட விடயங்களின் தாக்கத்தினைத்  தவிர்த்து 2012 ஆம் ஆண்டு திசெம்பர் 31 இல் உள்ளவாறான ஜெனரல் சேர் ஜோன் கொத்தலாவல பாதுகாப்பு பல்கலைக்கழகத்தின்  நிதி நிலைமையினையும் அத்திகதியில் முடிவடைந்த ஆண்டிற்கான அதனது நிதிசார் செயலாற்றலினையும் காசுப்பாய்ச்சலினையும் இலங்கை கணக்கீட்டு நியமங்களுக்கு இணங்க உண்மையாகவும் நியாயமாகவும் தருகின்றன என்பது எனது அபிப்பிராயமாகும்.
1.2 Commenting on Financial Statements,1.2 நிதிக் கூற்றுக்கள் மீதான கருத்துரைகள்
Actions in terms of Sri Lanka Accounting Standard No. 16 had not been taken to revalue and account for those assets.,இச்சொத்துக்கள் இலங்கை கணக்கீட்டு நியம இல. 16 இன் படி மீள விலைமதிக்கப்பட்டு கணக்கீடு செய்வதற்கு நடவடிக்கை எடுக்கப்பட்டிருக்கவில்லை.
1.2.2 Accounting Deficiencies,1.2.2 கணக்கீட்டுக் குறைபாடுகள்
(a) Understatements and Overstatements,(அ) குறைத்துக் காட்டல்களும் அதிகரித்தும் காட்டல்களும்
The Vice-Chancellor informed the audit that Sri Lanka Army had agreed for the write off of this amount.,இலங்கை இராணுவம் இத்தொகையை பதிவழிப்பதற்கு இணங்கப்பட்டுள்ளதாக உபவேந்தர் கணக்காய்விற்கு அறிவித்திருந்தார்.
(b) Inappropriate Disclosures,(ஆ) பொருத்தமற்ற வெளிப்படுத்தல்கள்
1.2.3 Lack of Evidence for Audit,1.2.3 கணக்காய்விற்கான சான்றின்மை
The value of the following constructions shown under the “work-in-progress’ from the year 2011 remained unchanged even by 31 December 2012.,2011 ஆம் ஆண்டு முதல் முடிவுறா வேலைகளின் கீழ் காண்பிக்கப்பட்டிருந்த பின்வரும் நிர்மாணங்களின் பெறுமதிகள் 2012 ஆம் ஆண்டு திசெம்பர் 31 ஆம் திகதியிலும் கூட மாற்றமின்றிக் காணப்பட்டன.
Account Balance,கணக்கு மீதி
Balance as at 31 December 2011 and as at 31 December 2012,2011 ஆம் ஆண்டு திசெம்பர் 31 மற்றும் 2012 ஆம் ஆண்டு திசெம்பர் 31 இல் உள்ளவாறான மீதிகள்
"Buildings - 6,388,934","கட்டிடங்கள் - 6,388,934"
"Official Quarters of Married Officers - 230,870","விவாகமானோருக்கான உத்தியோகபூர்வ இல்லங்கள் - 230,870"
"Construction of Quarters of Married Officers - 5,033,574","விவாகமானோருக்கான உத்தியோகபூர்வ இல்லங்களின் நிர்மாணம் - 5,033,574"
The evidence required for the identification of these amounts had not been furnished to audit.,இத்தொகைகளை அடையாளம் காண்பதற்கு தேவையான சான்று கணக்காய்விற்கு கையளிக்கப்பட்டது.
"1.2.4 Non-compliances with Laws, Rules, Regulations and Management Decisions","1.2.4. சட்டங்கள், விதிகள், பிரமாணங்கள், முகாமைத்துவத் தீர்மானங்களுடன் இணக்கமின்மைகள்"
The following non-compliances were observed during the course of the audit.,கணக்காய்வில் பின்வரும் இணக்கமின்மைகள் அவதானிக்கப்பட்டன.
"Reference to Laws, Rules, Regulations and Management Decisions","சட்டங்கள், விதிகள், பிரமாணங்கள் மற்றும் முகாமைத்துவத் தீர்மானங்களிற்கான தொடர்பு"
Procurement Guidelines 2006,பெறுகை வழிகாட்டல்கள் - 2006
"(i) Guidelines 2.14.1, 3.4.1 and 4.3","(i) 2.14.1, 3.4.1 மற்றும் 4.3 ஆம் வழிகாட்டல்கள்"
It was observed that those advances had ranged between 50 per cent to 100 per cent of the value of each purchase.,அம்முற்பணங்கள் ஒவ்வொரு கொள்வனவுப் பெறுமதியிலும் 50 சதவீதம் முதல் 100 சதவீதம் வரை இருந்தமை அவதானிக்கப்பட்டது.
(iii) Guideline 8.9.1,(iii) 8.9.1 (ஆ) ஆம் வழிகாட்டல்
The improvement of the financial results for the year under review as compared with the preceding year was observed as due to the increase of income in the year under review.,முன்னைய ஆண்டுடன் ஒப்பிடுகையில் மீளாய்வாண்டிற்கான நிதி விளைவுகளில் முன்னேற்றம் ஏற்பட்டதற்கு காரணம் மீளாய்வாண்டில் வருமானம் அதிகரித்தமையாகும் என்பது அவதானிக்கப்பட்டது.
2.2 Legal Actions initiated against or by the Institution,2.2. நிறுவனத்திற்கு எதிராக அல்லது நிறுவனத்தினால் ஆரம்பிக்கப்பட்டுள்ள சட்டரீதியான நடவடிக்கைகள்
(a) Three external parties had filed three cases in Courts against the University by claiming ownership to the properties of the University.,(அ) மூன்று வெளிவாரி தரப்பினரால் பல்கலைக்கழகத்தின் ஆதனங்களில் உரித்துக் கோரி பல்கலைக்கழகத்திற்கு எதிராக நீதிமன்றங்களில் மூன்று வழக்குகள் தொடரப்பட்டிருந்தன.
3.1 Performance,3.1 செயலாற்றுகை
Actions had not been taken in the year under review for the execution of the following activities included under the infrastructure development in the Corporate Plan for execution in the year 2012.,உட்கட்டமைப்பு அபிவிருத்தியின் கீழ் 2012 ஆம் ஆண்டில் அமுலாக்குவதாக கூட்டிணைந்த திட்டத்தில் காண்பிக்கப்பட்டிருந்த பின்வரும் செயற்பாடுகளை மீளாய்வாண்டில் நிறைவேற்றிக் கொள்வதற்காக நடவடிக்கை எடுக்கப்பட்டிருக்கவில்லை.
(a) Construction of a separate building complex for the Postgraduate Academic Division,(அ) பட்டப்பின்படிப்பு நிறுவகத்திற்காக தனியான கட்டிடத் தொகுதியொன்றை நிர்மாணித்தல்
(b) Construction of a six storeyed laboratory for the Faculty of Engineering,(ஆ) பொறியியல் பீடத்திற்காக ஆறு மாடி ஆய்வுகூடமொன்றை நிர்மாணித்தல்
3.2 Operating Inefficiencies,3.2 செயற்பாட்டுச் செயற்திறனின்மை
Advances for purchases amounting to 100 per cent had been granted surpassing the circular provisions in the procurement of goods and services to ensure obtaining goods and services quickly and efficiently.,பொருட்கள் மற்றும் சேவைகளைக் கொள்வனவு செய்கையில் பொருட்கள் சேவைகளை விரைவாகவும் வினைத்திறனாகவும் பெற்றுக்கொள்வதற்காக சுற்றறிக்கை ஏற்பாடுகளை மீறி கொள்வனவு செய்வதற்காக 100 சதவீத முற்பணம் வழங்கப்பட்டிருந்தது.
Instances of non-supply of goods for the advances granted in the year 2011 even by September 2013 were observed.,2011 ஆம் ஆண்டில் வழங்கப்பட்டிருந்த முற்பணங்கள் தொடர்பான பொருட்கள் 2013 ஆம் ஆண்டு செப்தெம்பர் மாதம் வரை வழங்கப்படாதிருந்த சந்தர்ப்பங்கள் அவதானிக்கப்பட்டன.
Actions had not been taken for the recovery of such money while advances had been further granted to those suppliers.,அத்தொகையினை மீள அறவிட்டுக் கொள்வதற்கு நடவடிக்கை எடுக்கப்படாதிருந்ததுடன் அவ்வழங்குனர்களிற்கு மீண்டும் முற்பணத் தொகைகள் வழங்கப்பட்டிருந்தன.
3.3 Transactions of Contentious Nature,3.3 சர்ச்சைக்குரிய கொடுக்கல்வாங்கல்கள்
3.4 Deficiencies in Contract Administration,3.4 ஒப்பந்த நிர்வாகக் குறைபாடுகள்
(a) The following items installed in the Building No. 3 of the Building of the Faculty of Medicine had been rusted before the expiry of one year since the use of the building.,(அ) மருத்துவ பீடத்தின் 03 ஆம் இலக்க கட்டிடத்தில் பொருத்தப்பட்டிருந்த பின்வரும் விடயங்கள் கட்டிடம் பயன்படுத்தப்பட்டதிலிருந்து ஒரு ஆண்டிற்கு முன்னரே துருப்பிடித்திருந்தன.
(ii) Sanitary Equipment 04,(ii) சுத்திகரிப்பு உபகரணங்கள்  04
"(b) Even though the handrail of the stairway and the exterior security fences of the above building had been constructed with iron and painted with galvanizing, those had rusted by the time of inspection.",(ஆ) மேற்படி கட்டிடத்திலுள்ள ஏறும்படிகளின் கைப்பிடிகள் மற்றும் வெளிப் பாதுகாப்புவேலிகள் இரும்பினைப் பயன்படுத்தி கல்வனைஸ் பூசப்பட்டு நிர்மாணிக்கப்பட்டிருந்த போதிலும் பரிசோதனைச் சந்தர்ப்பத்தில் துருப்பிடித்திருந்தன.
4. Systems and Controls,4. முறைமைகளும் கட்டுப்பாடுகளும்
Deficiencies in systems and controls observed during the course of the audit were brought to the notice of the Vice-Chancellor of the University from time to time.,கணக்காய்வின் போது அவதானிக்கப்பட்ட முறைமைகள் மற்றும் கட்டுப்பாடுகளிலுள்ள குறைபாடுகள் அவ்வப்போது பல்கலைக்கழகத்தின் உப வேந்தரின் கவனத்திற்கு  கொண்டுசெல்லப்பட்டன.
Special attention is needed in respect of the following areas of control.,பின்வரும் கட்டுப்பாட்டு அம்சங்கள் தொடர்பாக விசேட அவதானம் தேவைப்படுகின்றது.
(b) Budgetary Control,(ஆ) வரவுசெலவுத்திட்டக்கணக்குக் கட்டுப்பாடு
(c) Advances Control,(இ) முற்பணங்கள் கட்டுப்பாடு
(d) Assets Control,(ஈ) சொத்துக்கள் கட்டுப்பாடு
(e) Construction Control,(உ) நிர்மாணங்கள் கட்டுப்பாடு
"The Department of Hindu Religious and Cultural Affairs was established on 1st of January 1986, to preserve, promote and propagate, Hindu Religion and Hindu Culture of Sri Lanka.","இலங்கையில் இந்து சமயத்தினையும், கலாசாரத்தினையும் பாதுகாத்தல், விருத்திசெய்தல் மற்றும் பரப்புதலுக்காக இந்து சமய கலாசார அலுவல்கள் திணைக்களம் 1986 ஆம் ஆண்டு ஜனவரி மாதம் 01 ஆம் திகதி ஸ்தாபிக்கப்பட்டது."
"At present, this Department functions under the Ministry of Resettlement, Reconstruction and Hindu Religious Affairs.","தற்போது இத்திணைக்களமானது மீள்குடியேற்றம், புனர்நிர்மாணம் மற்றும் இந்துமத விவகாரங்கள் அமைச்சின் கீழ் இயங்குகின்றது."
I take this opportunity to add a few words to the Performance Report and Annual Accounts for 2014 of the Department of Hindu Religious and Cultural Affairs.,இந்து சமய கலாசார அலுவல்கள் திணைக்களத்தினது 2014 ஆம் ஆண்டுக்குரிய முன்னேற்ற அறிக்கை மற்றும் வருடாந்த கணக்குகள் பற்றி ஒரு சில விடயங்களை இவ்விடத்தில் நான் தெரிவித்தல் பொருத்தமானதாகும்.
I am proud to state that we were able to achieve the significant role expected from our department according to the government policies during 2014 in an efficient and productive manner.,2014 ஆம் ஆண்டில் எமது திணைக்களமானது அரசாங்கக் கொள்கைகளுக்கு அமைவாக எதிர்பார்க்கப்பட்ட திணைக்களத்தின் முக்கியமான பங்கினை வினைத்திறனுடனும் பயனுறுதிவாய்ந்ததாகவும் அடைய முடிந்ததையிட்டு பெருமை கொள்கின்றேன்.
The efficiency of performance of the department has been increased due to the hard work and dedication of all the staff members including newly recruited development officers.,திணைக்களத்தின் வினைத்திறனான செயற்பாடுகள் முன்னேற்றமடைந்துள்ளமைக்குப் புதிதாக உள்ளீர்க்கப்பட்ட அபிவிருத்தி உத்தியோகத்தர்கள் உள்ளடங்கலாக சகல உத்தியோகத்தர்களினதும் கடின உழைப்பும் அர்ப்பணிப்புமே காரணமாக அமைந்துள்ளது.
"I hereby wish to express my deepest gratitude and sincere thanks to all Hon. Ministers, Hon. Members of Parliament, Hon. Members of Provincial Council, and all Government Intuitions and other stakeholders including Hindu religious monks, priests, scholars, institutions, temple trustees and Aranery Schools for extending their fullest support and cooperation to the activities of our department.","எமது திணைக்களத்தின் செயற்பாடுகளுக்கு முழுமையான ஆதரவினையும் ஒத்துழைப்பினையும் நல்கிய கௌரவ அமைச்சர்கள், கௌரவ மாகாணசபை உறுப்பினர்கள், அரச நிறுவனங்கள் மற்றும் ஏனைய பங்காளிகளான இந்துசமய துறவிகள், குருமார்கள், கல்விமான்கள், நிறுவனங்கள், ஆலய அறங்காவலர்கள் மற்றும் அறநெறிப் பாடசாலைகளுக்கும் எனது ஆழமானதும் உண்மையானதுமான நன்றியைத் தெரிவித்துக் கொள்கிறேன்."
In fact I am well fortunate to receive the fullest cooperation from the Secretary and the staff of the Ministry of Buddhasasana and Religious Affairs in our efforts to perform the responsibilities of the Department of Hindu Religious and Cultural Affairs very successfully.,"உண்மையில், இந்துசமய கலாசார அலுவல்கள் திணைக்களத்தின் பொறுப்புக்களை மிகவும் வெற்றிகரமாகச் செயற்படுத்தும் எமது முயற்சிகளுக்கு புத்தசாசன மற்றும் மத அலுவல்கள் அமைச்சின் செயலாளரிடமிருந்து முழுமையான ஒத்துழைப்பு  கிடைத்தமையையிட்டு நான் மிகவும் அதிஷ்டசாலியாவேன்."
Hence I wish to extend my thankfulness to the Secretary and all staff members of the Ministry of Buddhasasana and Religious Affairs for their great support.,"மேலும் புத்தசாசன மற்றும் மத அலுவல்கள் அமைச்சின் செயலாளர் மற்றும் அனைத்து உத்தியோகத்தர்களுக்கும், அவர்களது உயர்ந்த ஆதரவினை நல்கியதற்காக நன்றியைத் தெரிவித்துக் கொள்கின்றேன்."
"I, whilst appreciating the services of all management staff and members of the staff of our department who had extended their cooperation for providing admirable contribution for our efforts to achieve the targets in 2014, No doubt they deserve my gratitude.","2014 இல் எமது இலக்கினை அடைவதற்கான முயற்சிகளுக்கு தமது வியக்கத்தக்க பங்களிப்பினை வழங்கி ஒத்துழைத்த சகல முகாமை மட்ட மற்றும் ஏனைய திணைக்களத்தின் உத்தியோகத்தர்களுக்கும் பாராட்டினைத் தெரிவித்துக் கொள்கின்றேன், எனது நன்றியினைத் தெரிவிப்பதற்கு இவர்கள் தகுதியுள்ளவர்கள் என்பதில் எவ்வித சந்தேகமுமில்லை."
Director,பணிப்பாளர்
Department of Hindu Religious and Cultural Affairs,"இந்துசமய, கலாசார அலுவல்கள் திணைக்களம்."
"The Department of Hindu Religious and Cultural Affairs was established on 1st of January 1986 to preserve, promote and propagate Hindu Religion and Hindu Culture.","இந்துசமய, கலாசார அலுவல்கள் திணைக்களம், இந்து சமயத்தை மேம்படுத்துதல், பெருக்குதல், பேணிப்பாதுகாத்தல் போன்ற நோக்கங்களை அடிப்படையாகக் கொண்டு 1986 ஜனவரி 01 ஆம் திகதியன்று ஸ்தாபிக்கப்பட்டது."
Vision,தொலை நோக்கு
"Preservation, Promotion and Propagation of Hindu Religion and Culture.","இந்துசமயத்தையும் பண்பாட்டையும் பேணிப் பாதுகாத்தலும், மேம்படுத்திப் பரப்புதலும்"
Mission,செயற்பணி
"Preservation, Promotion and Propagation of Hindu Religion, Hindu Religious Education, Hindu Culture and Arts and Renovation of Hindu Temples.","இந்துசமயம், இந்துசமயக் கல்வி, இந்து கலாசாரம், கலைகள் ஆகியவற்றின் பேணுகை, ஊக்குவிப்பு, பெருக்குதல் மற்றும் கோவில்களின் புனரமைப்பு."
Objectives,குறிக்கோள்கள்
Promoting Hindu Religious education to practice moral characters and Religious values among Hindu youths,"ஒழுக்க விழுமியங்களையும், சமயப் பெறுமானங்களையும் இந்துச் சிறார்களுக்கிடையே ஊக்குவிப்பதற்காக இந்துசமயக் கல்வியை ஊக்குவித்தல்"
Preserving Hindu Religious practices for sustaining and developing Hindu Religion and Culture.,இந்துசமயத்தையும் கலாசாரத்தையும் அபிவிருத்தி செய்து பேணுவதற்காக இந்துசமய ஆசாரங்களைப் பேணுதல்.
Promoting Research on Hindu Religion and Culture.,இந்துசமயம் மற்றும் கலாசார ஆராய்ச்சியை அபிவிருத்தி செய்தல்.
Sensitizing the public about the noble character of Hindu Culture and magnificence of Hindu Art and Architecture.,"இந்துசமய, கலை மற்றும் கட்டிடக்கலை தொடர்பான உயர்ந்த எண்ணத்தினை பொதுமக்களிடையே பரப்புதல்."
Key Functions,பிரதான செயற்பாடுகள்
Rehabilitation of Hindu Temples,இந்து ஆலயங்கள் புனரமைப்பு
Providing Training for Hindu Priest,இந்துக் குருமார்களுக்கான பயிற்சி
"Observing Guru Poojas of Hindu Saints, conducting Hindu Lectures and preserving the traditions by conducting Hindu Festivals.",நாயன்மார்களின் குருபஜனைகளை அனுஷ்டித்தல் மற்றும் இந்து சமயச் சொற்பொழிவுகள் மற்றும் பாரம்பரிய மரபுகளைப் பேணிக்காத்தல்
Promoting Hindu Religious education and encouraging to preserve moral values in Aranery Schools,இந்து அறநெறிப் பாடசாலைகளில் இந்துசமயக் கல்வியை மேம்படுத்தலும் சமய விழுமியங்களைப் பேணுவதற்கு ஊக்கமளித்தலும்
Compilation of Hindu Encyclopedia,இந்துக் கலைக் களஞ்சியங்களின் தொகுப்பு
Administration of Hindu Research Library,இந்து ஆராய்ச்சி நூலகத்தின் நிர்வாகம்
Conducting Research on Hindu Religion and Tami Culture,இந்துசமய மற்றும் தமிழ்க் கலாசார ஆய்வுகளை மேற்கொள்ளல்
Preserving Hindu Religious Tamil Culture,இந்துசமய தமிழ்க் கலைகளைப் பேணுதல்
Administration of Hindu Pilgrim’s Rest House in Kataragama,கதிர்காமம் இந்து யாத்திரிகர் விடுதியின் நிர்வாகம்
"Administration of Hindu Culture Centre, Batticaloa",மட்டக்களப்பு இந்து கலாசார நிலையத்தின் நிர்வாகம்
"Administration of Anaipanthi Gurukula Building, Jaffna","யாழ்ப்பாணம், ஆணைப்பந்தி குருகுலக் கட்டட நிர்வாகம்"
"Administration of Navalar Mani Mandapam, Jaffna","யாழ்ப்பாணம், நல்லூர் நாவலர் மணிமண்டபத்தின் நிர்வாகம்"
Preserving Hindu Culture and Arts,இந்து கலை மற்றும் கலாசாரத்தை பேணிப் பாதுகாத்தல்
Implementation of Provisions of the Hindu Cultural Fund Act,இந்துப்பண்பாட்டு நிதியச் சட்டத்தின் ஏற்பாடுகளை அமுலாக்கம் செய்தல்
Programmes and Performance Report,நிகழ்ச்சி மற்றும் செயலயாற்றுகை அறிக்கை
from 01.01.2014 to 31.12.2014,01.01.2014 – 31.12.2014 வரை
The following Projects are being implemented by the Department of Hindu Religious and Cultural Affairs in keeping line with the Government Policy towards the creation of a Virtuous Society.,"ஒழுக்க விழுமியங்கள் நிறைந்த சமூகத்தைக் கட்டியெழுப்புவதற்காக, அரசாங்கக் கொள்கைகளுக்கிணங்க இந்து சமய மற்றும் கலாசார அலுவல்கள் திணைக்களத்தினால் பின்வரும் நிகழ்ச்சித் திட்டங்கள் செயற்படுத்தப்பட்டு வருகின்றன."
Programmes,நிகழ்ச்சித் திட்டங்கள்
Development of Hindu Aranery Schools,இந்து அறநெறிப் பாடசாலைகளின் அபிவிருத்தி
Promotion of Hindu Religious Activities,இந்துசமய நடவடிக்கைகளை முன்னிறுத்தல்
Research on Hindu Religion and Culture,இந்துசமய கலாசார ஆராய்ச்சி
